20 20
2 5 1; 697.6881 -39.5 2054.461; 806.2087 -39.5 1978.474; 902.3381 -39.5 2115.761; 793.8174 -39.5 2191.748
2 6 1; 793.8174 -39.5 2191.748; 902.3381 -39.5 2115.761; 998.4675 -39.5 2253.048; 889.9468 -39.5 2329.035
2 7 1; 889.9468 -39.5 2329.035; 998.4675 -39.5 2253.048; 1094.597 -39.5 2390.335; 986.0762 -39.5 2466.322
2 8 1; 986.0762 -39.5 2466.322; 1094.597 -39.5 2390.335; 1190.726 -39.5 2527.622; 1082.206 -39.5 2603.609
2 9 1; 1082.206 -39.5 2603.609; 1190.726 -39.5 2527.622; 1286.856 -39.5 2664.909; 1178.335 -39.5 2740.896
2 10 1; 1178.335 -39.5 2740.896; 1286.856 -39.5 2664.909; 1382.985 -39.5 2802.196; 1274.464 -39.5 2878.183
2 11 1; 1274.464 -39.5 2878.183; 1382.985 -39.5 2802.196; 1479.114 -39.5 2939.483; 1370.594 -39.5 3015.47
2 12 1; 1370.594 -39.5 3015.47; 1479.114 -39.5 2939.483; 1575.244 -39.5 3076.77; 1466.723 -39.5 3152.757
2 13 1; 1466.723 -39.5 3152.757; 1575.244 -39.5 3076.77; 1671.373 -39.5 3214.057; 1562.852 -39.5 3290.043
2 14 1; 1562.852 -39.5 3290.043; 1671.373 -39.5 3214.057; 1767.502 -39.5 3351.344; 1658.982 -39.5 3427.331
2 15 1; 1658.982 -39.5 3427.331; 1767.502 -39.5 3351.344; 1863.632 -39.5 3488.631; 1755.111 -39.5 3564.617
2 16 1; 1755.111 -39.5 3564.617; 1863.632 -39.5 3488.631; 1959.761 -39.5 3625.917; 1851.24 -39.5 3701.905
2 17 1; 1851.24 -39.5 3701.905; 1959.761 -39.5 3625.917; 2055.891 -39.5 3763.205; 1947.37 -39.5 3839.191
2 18 1; 1947.37 -39.5 3839.191; 2055.891 -39.5 3763.205; 2152.02 -39.5 3900.491; 2043.499 -39.5 3976.479
2 19 1; 2043.499 -39.5 3976.479; 2152.02 -39.5 3900.491; 2248.149 -39.5 4037.778; 2139.629 -39.5 4113.765
3 0 1; 325.5619 -39.5 1292.039; 434.0825 -39.5 1216.052; 530.2119 -39.5 1353.339; 421.6913 -39.5 1429.326
3 1 1; 421.6913 -39.5 1429.326; 530.2119 -39.5 1353.339; 626.3412 -39.5 1490.626; 517.8206 -39.5 1566.613
3 2 1; 517.8206 -39.5 1566.613; 626.3412 -39.5 1490.626; 722.4706 -39.5 1627.913; 613.95 -39.5 1703.9
3 3 1; 613.95 -39.5 1703.9; 722.4706 -39.5 1627.913; 818.6 -39.5 1765.2; 710.0793 -39.5 1841.187
3 4 1; 710.0793 -39.5 1841.187; 818.6 -39.5 1765.2; 914.7294 -39.5 1902.487; 806.2087 -39.5 1978.474
3 5 1; 806.2087 -39.5 1978.474; 914.7294 -39.5 1902.487; 1010.859 -39.5 2039.774; 902.3381 -39.5 2115.761
3 6 1; 902.3381 -39.5 2115.761; 1010.859 -39.5 2039.774; 1106.988 -39.5 2177.061; 998.4675 -39.5 2253.048
3 7 1; 998.4675 -39.5 2253.048; 1106.988 -39.5 2177.061; 1203.117 -39.5 2314.348; 1094.597 -39.5 2390.335
3 8 1; 1094.597 -39.5 2390.335; 1203.117 -39.5 2314.348; 1299.247 -39.5 2451.635; 1190.726 -39.5 2527.622
3 9 1; 1190.726 -39.5 2527.622; 1299.247 -39.5 2451.635; 1395.376 -39.5 2588.922; 1286.856 -39.5 2664.909
3 10 1; 1286.856 -39.5 2664.909; 1395.376 -39.5 2588.922; 1491.506 -39.5 2726.209; 1382.985 -39.5 2802.196
3 11 1; 1382.985 -39.5 2802.196; 1491.506 -39.5 2726.209; 1587.635 -39.5 2863.496; 1479.114 -39.5 2939.483
3 12 1; 1479.114 -39.5 2939.483; 1587.635 -39.5 2863.496; 1683.764 -39.5 3000.783; 1575.244 -39.5 3076.77
3 13 1; 1575.244 -39.5 3076.77; 1683.764 -39.5 3000.783; 1779.894 -39.5 3138.07; 1671.373 -39.5 3214.057
3 14 1; 1671.373 -39.5 3214.057; 1779.894 -39.5 3138.07; 1876.023 -39.5 3275.357; 1767.502 -39.5 3351.344
3 15 1; 1767.502 -39.5 3351.344; 1876.023 -39.5 3275.357; 1972.152 -39.5 3412.644; 1863.632 -39.5 3488.631
3 16 1; 1863.632 -39.5 3488.631; 1972.152 -39.5 3412.644; 2068.282 -39.5 3549.931; 1959.761 -39.5 3625.917
3 17 1; 1959.761 -39.5 3625.917; 2068.282 -39.5 3549.931; 2164.411 -39.5 3687.218; 2055.891 -39.5 3763.205
3 18 1; 2055.891 -39.5 3763.205; 2164.411 -39.5 3687.218; 2260.541 -39.5 3824.504; 2152.02 -39.5 3900.491
3 19 1; 2152.02 -39.5 3900.491; 2260.541 -39.5 3824.504; 2356.67 -39.5 3961.792; 2248.149 -39.5 4037.778
4 0 1; 434.0825 -39.5 1216.052; 542.6031 -39.5 1140.065; 638.7325 -39.5 1277.352; 530.2119 -39.5 1353.339
4 1 1; 530.2119 -39.5 1353.339; 638.7325 -39.5 1277.352; 734.8619 -39.5 1414.639; 626.3412 -39.5 1490.626
4 2 1; 626.3412 -39.5 1490.626; 734.8619 -39.5 1414.639; 830.9913 -39.5 1551.926; 722.4706 -39.5 1627.913
4 3 1; 722.4706 -39.5 1627.913; 830.9913 -39.5 1551.926; 927.1206 -39.5 1689.213; 818.6 -39.5 1765.2
4 4 1; 818.6 -39.5 1765.2; 927.1206 -39.5 1689.213; 1023.25 -39.5 1826.5; 914.7294 -39.5 1902.487
4 5 1; 914.7294 -39.5 1902.487; 1023.25 -39.5 1826.5; 1119.379 -39.5 1963.787; 1010.859 -39.5 2039.774
4 6 1; 1010.859 -39.5 2039.774; 1119.379 -39.5 1963.787; 1215.509 -39.5 2101.074; 1106.988 -39.5 2177.061
4 7 1; 1106.988 -39.5 2177.061; 1215.509 -39.5 2101.074; 1311.638 -39.5 2238.361; 1203.117 -39.5 2314.348
4 8 1; 1203.117 -39.5 2314.348; 1311.638 -39.5 2238.361; 1407.767 -39.5 2375.648; 1299.247 -39.5 2451.635
4 9 1; 1299.247 -39.5 2451.635; 1407.767 -39.5 2375.648; 1503.897 -39.5 2512.935; 1395.376 -39.5 2588.922
4 10 1; 1395.376 -39.5 2588.922; 1503.897 -39.5 2512.935; 1600.026 -39.5 2650.222; 1491.506 -39.5 2726.209
4 11 1; 1491.506 -39.5 2726.209; 1600.026 -39.5 2650.222; 1696.156 -39.5 2787.509; 1587.635 -39.5 2863.496
