20 20
2 15 1; 55450 2338.602 -629200; 62950 2305.617 -629200; 62950 2319.53 -624200; 55450 2343.237 -624200
2 16 1; 55450 2343.237 -624200; 62950 2319.53 -624200; 62950 2334.699 -619200; 55450 2342.575 -619200
2 17 1; 55450 2342.575 -619200; 62950 2334.699 -619200; 62950 2344.665 -614200; 55450 2355.026 -614200
2 18 1; 55450 2355.026 -614200; 62950 2344.665 -614200; 62950 2357.474 -609200; 55450 2383.243 -609200
2 19 1; 55450 2383.243 -609200; 62950 2357.474 -609200; 62950 2379.71 -604200; 55450 2412.606 -604200
3 0 1; 62950 2429.254 -704200; 70449.99 2428.964 -704200; 70449.99 2404.076 -699200; 62950 2419.326 -699200
3 1 1; 62950 2419.326 -699200; 70449.99 2404.076 -699200; 70450 2374.466 -694200; 62950 2402.714 -694200
3 2 1; 62950 2402.714 -694200; 70450 2374.466 -694200; 70449.99 2346.169 -689200; 62950 2379.171 -689200
3 3 1; 62950 2379.171 -689200; 70449.99 2346.169 -689200; 70449.99 2325.144 -684200; 62950 2350.918 -684200
3 4 1; 62950 2350.918 -684200; 70449.99 2325.144 -684200; 70449.99 2310.352 -679200; 62950 2331.152 -679200
3 5 1; 62950 2331.152 -679200; 70449.99 2310.352 -679200; 70449.99 2293.947 -674200; 62950 2318.046 -674200
3 6 1; 62950 2318.046 -674200; 70449.99 2293.947 -674200; 70449.99 2274.952 -669200; 62950 2307.954 -669200
3 7 1; 62950 2307.954 -669200; 70449.99 2274.952 -669200; 70449.99 2258.803 -664200; 62950 2298.021 -664200
3 8 1; 62950 2298.021 -664200; 70449.99 2258.803 -664200; 70450 2244.563 -659200; 62950 2287.039 -659200
3 9 1; 62950 2287.039 -659200; 70450 2244.563 -659200; 70450 2232.13 -654200; 62950 2270.285 -654200
3 10 1; 62950 2270.285 -654200; 70450 2232.13 -654200; 70450 2223.359 -649200; 62950 2249.534 -649200
3 11 1; 62950 2249.534 -649200; 70450 2223.359 -649200; 70450 2220.192 -644200; 62950 2233.902 -644200
3 12 1; 62950 2308.508 -644200; 70450 2307.671 -644200; 70450 2296.827 -639200; 62950 2302.55 -639200
3 13 1; 62950 2302.55 -639200; 70450 2296.827 -639200; 70450 2294.01 -634200; 62950 2303.317 -634200
3 14 1; 62950 2303.317 -634200; 70450 2294.01 -634200; 70450 2296.987 -629200; 62950 2305.617 -629200
3 15 1; 62950 2305.617 -629200; 70450 2296.987 -629200; 70450 2303.177 -624200; 62950 2319.53 -624200
3 16 1; 62950 2319.53 -624200; 70450 2303.177 -624200; 70450 2318.864 -619200; 62950 2334.699 -619200
3 17 1; 62950 2334.699 -619200; 70450 2318.864 -619200; 70450 2334.067 -614200; 62950 2344.665 -614200
3 18 1; 62950 2344.665 -614200; 70450 2334.067 -614200; 70450 2345.761 -609200; 62950 2357.474 -609200
3 19 1; 62950 2357.474 -609200; 70450 2345.761 -609200; 70450 2358.102 -604200; 62950 2379.71 -604200
4 0 1; 70449.99 2428.964 -704200; 77949.99 2415.075 -704200; 77949.99 2380.465 -699200; 70449.99 2404.076 -699200
4 1 1; 70449.99 2404.076 -699200; 77949.99 2380.465 -699200; 77949.99 2348.701 -694200; 70450 2374.466 -694200
4 2 1; 70450 2374.466 -694200; 77949.99 2348.701 -694200; 77949.99 2326.027 -689200; 70449.99 2346.169 -689200
4 3 1; 70449.99 2346.169 -689200; 77949.99 2326.027 -689200; 77949.99 2309.835 -684200; 70449.99 2325.144 -684200
4 4 1; 70449.99 2325.144 -684200; 77949.99 2309.835 -684200; 77949.99 2288.869 -679200; 70449.99 2310.352 -679200
4 5 1; 70449.99 2310.352 -679200; 77949.99 2288.869 -679200; 77949.99 2262.436 -674200; 70449.99 2293.947 -674200
4 6 1; 70449.99 2293.947 -674200; 77949.99 2262.436 -674200; 77949.99 2242.636 -669200; 70449.99 2274.952 -669200
4 7 1; 70449.99 2274.952 -669200; 77949.99 2242.636 -669200; 77950 2226.082 -664200; 70449.99 2258.803 -664200
4 8 1; 70449.99 2258.803 -664200; 77950 2226.082 -664200; 77950 2209.974 -659200; 70450 2244.563 -659200
4 9 1; 70450 2244.563 -659200; 77950 2209.974 -659200; 77950 2197.12 -654200; 70450 2232.13 -654200
4 10 1; 70450 2232.13 -654200; 77950 2197.12 -654200; 77950 2189.535 -649200; 70450 2217.787 -649200
4 11 1; 70450 2217.787 -649200; 77950 2189.535 -649200; 77950 2187.803 -644200; 70450 2209.684 -644200
